id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct,zipcode,City,Metro,CountyName,State
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,14.47368421,14.47368421,-9.210526316,14.47368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,1.315789474,0,14.47368421,1.315789474,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,-17.10526316,-17.10526316,0,-17.10526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,-18.42105263,-18.42105263,-17.10526316,-18.42105263,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,-19.73684211,-19.73684211,-18.42105263,-19.73684211,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,-3.947368421,-2.631578947,-19.73684211,-5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,-9.210526316,-3.947368421,-5.263157895,-9.210526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,14.47368421,19.73684211,-9.210526316,14.47368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,1.315789474,5.263157895,14.47368421,1.315789474,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,-17.10526316,-11.84210526,0,-17.10526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,-18.42105263,-13.15789474,-17.10526316,-18.42105263,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,1,42.07894737,0.25,1125,1.210526316,0.197368421,0.25,0.25,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,-19.73684211,-14.47368421,-18.42105263,-19.73684211,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,-3.947368421,-7.894736842,-19.73684211,-5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,-9.210526316,-9.210526316,-5.263157895,-9.210526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,14.47368421,14.47368421,-9.210526316,14.47368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,1.315789474,0,14.47368421,1.315789474,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,-17.10526316,-17.10526316,0,-17.10526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,-18.42105263,-18.42105263,-17.10526316,-18.42105263,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
