,zipcode,day_of_week_x,available_delta_pct
183,29577,1,-17.115705931495405
184,29577,2,-18.28529657477026
185,29577,3,-7.027986633249792
186,29577,4,11.319966583124476
187,29577,5,10.004177109440267
188,29577,6,-8.05137844611529
189,29579,0,-22.622180451127818
190,29579,1,-20.38533834586466
191,29579,2,-24.398496240601506
192,29579,3,-14.266917293233085
193,29579,4,-3.148496240601503
194,29579,5,-1.8984962406015025
195,29579,6,-10.648496240601503
196,29582,0,-22.756487994178997
197,29582,1,-22.162260489934518
198,29582,2,-19.445791899102595
199,29582,3,-15.116420082464224
200,29582,4,-20.167353868542325
201,29582,5,-20.59180208585981
202,29582,6,-23.732718894009217
203,29585,0,11.591478696741854
204,29585,1,11.591478696741854
205,29585,2,6.328320802005014
206,29585,3,-2.005012531328319
207,29585,4,-2.005012531328319
208,29585,5,3.2581453634085205
209,29585,6,11.591478696741854
210,33109,0,-23.847926267281107
211,33109,1,-58.525345622119815
212,33109,2,-58.525345622119815
213,33109,3,-33.525345622119815
214,33109,4,-23.847926267281107
215,33109,5,-23.847926267281107
216,33109,6,-23.847926267281107
217,33125,0,-32.6036866359447
218,33125,1,-21.313364055299537
219,33125,2,-32.6036866359447
220,33125,3,-13.248847926267286
221,33125,4,-13.248847926267286
222,33125,5,-13.248847926267286
223,33125,6,-32.6036866359447
224,33127,0,-19.930875576036865
225,33127,1,-32.43087557603686
226,33127,2,-44.93087557603686
227,33127,3,-32.43087557603686
228,33127,4,-32.43087557603686
229,33127,5,-32.43087557603686
230,33127,6,-19.930875576036865
231,33131,0,-31.912442396313363
232,33131,1,-39.70814132104454
233,33131,2,-32.98771121351766
234,33131,3,-28.955453149001535
235,33131,4,-27.611367127496163
236,33131,5,-26.267281105990783
237,33131,6,-28.417818740399383
238,33133,0,-12.96082949308756
239,33133,1,-10.541474654377883
240,33133,2,-0.46082949308756077
241,33133,3,12.03917050691244
242,33133,4,24.539170506912438
243,33133,5,36.23271889400922
244,33133,6,-12.96082949308756
245,33137,0,-66.3594470046083
246,33137,1,-66.3594470046083
247,33137,2,-65.55299539170507
248,33137,3,-65.55299539170507
249,33137,4,-34.907834101382484
250,33137,5,-34.907834101382484
251,33137,6,-34.907834101382484
252,33138,0,-25.921658986175117
253,33138,1,-25.921658986175117
254,33138,2,-25.921658986175117
255,33138,3,-9.254992319508451
256,33138,4,-0.11520737327189222
257,33138,5,8.218125960061442
258,33138,6,-9.254992319508451
259,33139,0,-23.06018354405451
260,33139,1,-26.59616369293789
261,33139,2,-21.0130371420694
262,33139,3,-13.924993763703442
263,33139,4,-4.061470190502449
264,33139,5,-6.790998726482598
265,33139,6,-16.794674859190987
266,33140,0,-16.013824884792623
267,33140,1,-16.013824884792623
268,33140,2,-16.013824884792623
269,33140,3,-7.142857142857149
270,33140,4,-7.142857142857149
271,33140,5,-7.142857142857149
272,33140,6,-16.013824884792623
273,33141,0,-36.34210771307546
274,33141,1,-53.245007680491554
275,33141,2,-40.87941628264209
276,33141,3,-34.99802169157008
277,33141,4,-25.18619373458083
278,33141,5,-23.707699110924917
279,33141,6,-28.412000186193733
280,33147,0,-82.14285714285714
281,33147,1,-82.14285714285714
282,33147,2,-57.142857142857146
283,33147,3,-57.142857142857146
284,33147,4,-57.142857142857146
285,33147,5,-57.142857142857146
286,33147,6,-82.14285714285714
287,33150,0,-29.49308755760369
288,33150,1,-10.138248847926267
289,33150,2,-27.880184331797228
290,33150,3,-27.880184331797228
291,33150,4,-35.13824884792627
292,33150,5,-35.13824884792627
293,33150,6,-29.49308755760369
294,33169,0,-50.0
295,33169,1,-50.0
296,33169,2,-50.0
297,33169,3,-2.5376526277146434e-16
298,33169,4,45.16129032258065
299,33169,5,45.16129032258065
300,33169,6,-25.0
301,33175,0,-10.483870967741934
302,33175,1,-10.483870967741934
303,33175,2,-10.483870967741934
304,33175,3,-10.483870967741934
305,33175,4,-10.483870967741934
306,33175,5,-10.483870967741934
307,33175,6,1.6129032258064533
