,index,id,name,price,displayPrice,monthlyPriceFactor,weeklyPriceFactor,avgRating,reviewsCount,isNewListing,isSuperhost,lat,lng,personCapacity,size,beds,baths,title,property_type,town,top_lat,right_long,bottom_lat,left_long,url,baths_type,Region,baths_no,beds_no,guest_no,zipcode
0,0,36442397.0,Peaceful home nestled on golf course,281.0,$281,1.0,0.95,4.64,28.0,0.0,1.0,33.43199,-79.16524,8.0,4 bedrooms,5 beds,2 baths,8 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,2,5,8.0,29585
1,1,2095742.0,True Blue Golf and Tennis Resort,125.0,$125,0.48,0.8,4.95,22.0,0.0,0.0,33.45016,-79.14666,4.0,2 bedrooms,4 beds,2 baths,4 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,2,4,4.0,29585
2,2,53089887.0,Once In A True Blue II,153.0,$153,0.85,0.9,5.0,6.0,0.0,1.0,33.45027,-79.14641,8.0,3 bedrooms,5 beds,3 baths,8 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,3,5,8.0,29585
3,3,52108693.0,"Golf, Beach and Pool! Open 3Bd 2Bath in True Blue",185.0,$185,0.8,0.9,4.92,13.0,0.0,1.0,33.44667,-79.14332,7.0,3 bedrooms,6 beds,2 baths,7 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,2,6,7.0,29585
4,4,33927315.0,Enjoy Fairwinds and Fairways at True Blue,194.0,$194,1.0,0.72,4.77,13.0,0.0,0.0,33.43947,-79.14407,4.0,2 bedrooms,3 beds,2 baths,4 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,2,3,4.0,29585
5,5,6.238779743214623e+17,Creek side oasis - 2 mi. from beach! 6 bed/3.5bath,950.0,$950,1.0,1.0,,0.0,1.0,0.0,33.47048,-79.14011,13.0,6 bedrooms,6 beds,3.5 baths,13 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,3.5,6,13.0,29585
6,6,41955955.0,"Casa Down, 4BR/4BA Ocean View Beach House",100.0,$100,1.0,0.85,,2.0,0.0,0.0,33.43616,-79.11831,9.0,4 bedrooms,5 beds,4 baths,9 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,4,5,9.0,29585
7,7,42433247.0,"Sportsman, 4BR/4.5BA Creek Front Beach House",100.0,$100,1.0,0.71,,0.0,0.0,0.0,33.46871,-79.09969,10.0,4 bedrooms,6 beds,4.5 baths,10 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,4.5,6,10.0,29585
8,8,51226623.0,King Fens Inn,337.0,$337,1.0,1.0,,0.0,0.0,0.0,33.43289,-79.1209,13.0,5 bedrooms,8 beds,3 baths,13 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,3,8,13.0,29585
9,9,51605367.0,PPV B-6,298.0,$298,1.0,1.0,,0.0,0.0,0.0,33.43309,-79.11894,8.0,3 bedrooms,5 beds,2 baths,8 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=120&section_offset=1,Private,Carolinas,2,5,8.0,29440
