,Unnamed: 0,id,index_x,cleaning_fee_x,service_fee_x,total_price_x,index_y,cleaning_fee_y,service_fee_y,total_price_y,cleaning_fee_delta,service_fee_delta,total_price_delta,cleaning_fee_delta_pct,service_fee_delta_pct,total_price_delta_pct,display_price_delta_pct
14,14,10400521.0,0.0,39.0,48.58719346049046,306.93732970027247,0.0,39.0,48.40270935960592,306.1428571428572,0.0,-0.18448410088453926,-0.7944725574152471,0.0,-0.3796969689853681,-0.25883868807715826,0.12085828090820983
15,15,10403955.0,0.0,,23.0,166.0,0.0,,23.0,166.0,,0.0,0.0,,0.0,0.0,
16,16,1049133.0,0.0,120.0,52.0,250.0,0.0,120.0,52.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,10495287.0,0.0,75.0,28.0,120.0,0.0,75.0,28.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,10513550.0,0.0,75.0,20.336971350613915,69.16234652114598,0.0,75.0,20.0,68.10974106041924,0.0,-0.3369713506139149,-1.0526054607267383,0.0,-1.6569396927617874,-1.5219342802443965,0.13500541251739095
19,19,10571555.0,0.0,100.0,48.06356968215159,241.1919315403423,0.0,100.0,50.57142857142857,259.70982142857144,0.0,2.5078588892769815,18.51788988822915,0.0,5.217795735651061,7.677657278983981,2.45986154333292
20,20,10572378.0,0.0,10.0,12.0,75.0,0.0,10.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,10573064.0,0.0,15.0,8.0,40.0,0.0,15.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,1059341.0,0.0,130.0,40.418502202643175,153.34801762114537,0.0,130.0,43.75,180.0,0.0,3.3314977973568247,26.651982378854626,0.0,8.242506811989092,17.38006320022982,9.137556388240728
23,23,10719412.0,0.0,200.0,105.2863436123348,545.1233480176212,0.0,200.0,106.0,550.0,0.0,0.7136563876651962,4.876651982378803,0.0,0.6778242677824249,0.8945960579588245,0.21677179017639958
24,24,10837466.0,0.0,200.0,74.0,325.0,0.0,200.0,74.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,1087504.0,0.0,250.0,92.51321585903084,406.99339207048456,0.0,250.0,94.97932330827068,423.73496240601503,0.0,2.4661074492398427,16.74157033553047,0.0,2.6656812503390124,4.113474729985568,1.4477934796465557
26,26,10876956.0,0.0,100.0,51.903073286052006,268.1442080378251,0.0,100.0,51.85714285714285,267.85714285714283,0.0,-0.045930428909159104,-0.28706518068224796,0.0,-0.08849269609917697,-0.10705626751473737,-0.018563571415560406
27,27,10907872.0,0.0,120.0,39.29359823399559,157.93598233995584,0.0,120.0,39.67857142857143,161.78571428571428,0.0,0.3849731945758421,3.8497319457584354,0.0,0.9797351524879576,2.4375268312650378,1.4577916787770802
28,28,10936569.0,0.0,60.0,27.0,130.0,0.0,60.0,27.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,10956136.0,0.0,125.0,60.0,300.0,0.0,125.0,60.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,10981163.0,0.0,100.0,22.95814977973568,63.581497797356825,0.0,100.0,23.669172932330827,68.07894736842105,0.0,0.7110231525951463,4.49744957106423,0.0,3.0970403077635655,7.073519383576389,3.976479075812824
31,31,11008820.0,0.0,65.0,24.85022026431718,111.89427312775332,0.0,65.0,25.0,112.85714285714286,0.0,0.1497797356828201,0.9628697293895385,0.0,0.6027300124091503,0.8605174353205717,0.2577874229114214
32,32,11009873.0,0.0,115.0,40.32378854625551,170.3920704845815,0.0,115.0,39.6578947368421,168.73496240601503,0.0,-0.6658938094134044,-1.6571080785664662,0.0,-1.6513671790773232,-0.9725265230088364,0.6788406560684869
33,33,11047144.0,0.0,175.0,95.0,500.0,0.0,175.0,97.57142857142856,517.8571428571429,0.0,2.571428571428555,17.85714285714289,0.0,2.706766917293216,3.5714285714285783,0.8646616541353622
34,34,11066610.0,0.0,,42.0,295.0,0.0,,42.0,295.0,,0.0,0.0,,0.0,0.0,
