,id,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y
1075,28146263.0,39.078947368421055,0.6428571428571429,14.0,7.0,0.07142857142857142,0.10714285714285714,0.6428571428571429,20.07894736842105,0.8533834586466166,14.0,7.0,0.11466165413533834,0.08082706766917293,0.768796992481203
1076,28150876.0,39.078947368421055,0.3176691729323308,1004.9135338345865,1.093984962406015,0.10714285714285714,0.2349624060150376,0.3176691729323308,20.07894736842105,0.20676691729323307,975.2067669172932,1.080827067669173,0.11466165413533834,0.13157894736842105,0.20676691729323307
1077,28173943.0,39.078947368421055,0.325187969924812,998.578947368421,1.118421052631579,0.11278195488721804,0.18609022556390978,0.18609022556390978,20.07894736842105,0.2857142857142857,829.8157894736842,1.2048872180451127,0.19736842105263158,0.17105263157894737,0.2349624060150376
1078,28179419.0,39.078947368421055,0.9285714285714286,1125.0,2.0,0.8928571428571429,0.9285714285714286,0.9285714285714286,20.07894736842105,0.8421052631578947,1125.0,2.0,0.8383458646616542,0.8157894736842105,0.8402255639097744
1079,28186378.0,39.078947368421055,0.15789473684210525,60.0,1.0,0.15789473684210525,0.16917293233082706,0.15789473684210525,20.07894736842105,0.2631578947368421,60.0,1.0,0.2631578947368421,0.2725563909774436,0.2631578947368421
1080,28199865.0,39.078947368421055,0.07894736842105263,1125.0,7.0,0.011278195488721804,0.07894736842105263,0.07894736842105263,20.07894736842105,0.22556390977443608,1125.0,5.535714285714286,0.011278195488721804,0.05639097744360902,0.06766917293233082
1081,28215877.0,39.078947368421055,1.0,1125.0,2.0,1.0,1.0,1.0,20.07894736842105,0.7650375939849624,1125.0,2.0,0.7537593984962406,0.7368421052631579,0.7631578947368421
1082,28219620.0,39.078947368421055,1.0,7.0,2.0,0.7142857142857143,0.9962406015037594,1.0,20.07894736842105,0.6428571428571429,7.0,2.0,0.43796992481203006,0.5977443609022557,0.6334586466165414
1083,28220732.0,39.078947368421055,0.0,30.0,7.0,0.0,0.0,0.0,20.07894736842105,0.11842105263157894,30.0,6.892857142857143,0.0,0.0,0.0
1084,28245307.0,39.078947368421055,0.21428571428571427,964.7857142857143,2.06390977443609,0.14285714285714285,0.11090225563909774,0.17857142857142858,20.07894736842105,0.10526315789473684,1013.3496240601504,2.0206766917293235,0.04887218045112782,0.06766917293233082,0.06766917293233082
1085,28287942.0,50.08064516129032,0.18548387096774194,1125.0,2.0,0.14285714285714285,0.15207373271889402,0.18317972350230416,31.080645161290324,0.18317972350230416,1125.0,2.0,0.06797235023041474,0.12672811059907835,0.12672811059907835
1086,28336398.0,39.078947368421055,0.011278195488721804,1125.0,2.0,0.005639097744360902,0.016917293233082706,0.011278195488721804,20.07894736842105,0.2669172932330827,1125.0,2.0,0.2274436090225564,0.2650375939849624,0.2650375939849624
1087,28338067.0,39.078947368421055,0.25,1125.0,21.473684210526315,0.05639097744360902,0.09022556390977443,0.07894736842105263,20.07894736842105,0.6409774436090225,1125.0,21.473684210526315,0.10714285714285714,0.13721804511278196,0.13721804511278196
1088,28355539.0,39.078947368421055,0.8214285714285714,1125.0,1.0,0.8214285714285714,0.8571428571428571,0.8214285714285714,20.07894736842105,0.7105263157894737,1125.0,1.0,0.7105263157894737,0.6842105263157895,0.7105263157894737
1089,28407829.0,39.078947368421055,0.32142857142857145,20.0,2.0,0.11278195488721804,0.2800751879699248,0.24436090225563908,20.07894736842105,0.18609022556390978,20.0,2.0,0.09586466165413533,0.18421052631578946,0.17669172932330826
1090,28429445.0,50.08064516129032,1.0,90.0,2.0,1.0,1.0,1.0,31.080645161290324,0.9101382488479263,90.0,2.0,0.9101382488479263,0.8951612903225806,0.9101382488479263
1091,28430939.0,39.078947368421055,0.25,1125.0,1.0,0.25,0.2857142857142857,0.25,20.07894736842105,0.6203007518796992,1125.0,1.0,0.6203007518796992,0.631578947368421,0.6203007518796992
1092,28432107.0,39.078947368421055,0.943609022556391,1125.0,2.0,0.9154135338345865,0.943609022556391,0.943609022556391,20.07894736842105,0.6785714285714286,1125.0,2.0,0.6090225563909775,0.650375939849624,0.674812030075188
1093,2845945.0,50.08064516129032,0.9907834101382489,180.0,1.0,0.9907834101382489,0.988479262672811,0.9907834101382489,31.080645161290324,0.532258064516129,180.0,1.0,0.532258064516129,0.4965437788018433,0.532258064516129
1094,28489258.0,49.5,1.0,1125.0,1.0,1.0,1.0,1.0,30.5,0.9011904761904762,1125.0,1.0,0.9011904761904762,0.8857142857142857,0.9011904761904762
1095,28543679.0,39.078947368421055,0.07894736842105263,1125.0,2.0,0.005639097744360902,0.007518796992481203,0.007518796992481203,20.07894736842105,0.13157894736842105,1125.0,2.0,0.0,0.0,0.0
1096,28555105.0,39.078947368421055,0.706766917293233,1125.0,2.0,0.631578947368421,0.7030075187969925,0.7030075187969925,20.07894736842105,0.731203007518797,1125.0,2.0,0.6729323308270677,0.7048872180451128,0.7293233082706767
1097,28558388.0,50.08064516129032,0.9009216589861752,5.0,2.0,0.8652073732718893,0.8917050691244239,0.9009216589861752,31.080645161290324,0.6370967741935484,5.0,2.0,0.554147465437788,0.618663594470046,0.6359447004608295
1098,28561684.0,51.13636363636363,0.9285714285714286,5.0,2.0,0.8928571428571429,0.9285714285714286,0.9285714285714286,32.13636363636363,0.577922077922078,5.0,2.0,0.47943722943722944,0.5465367965367965,0.5627705627705628
1099,28563276.0,50.08064516129032,0.36981566820276496,6.0,3.0,0.26036866359447003,0.22580645161290322,0.26036866359447003,31.080645161290324,0.08986175115207373,6.0,3.0,0.0,0.0,0.0
1100,28574124.0,50.08064516129032,1.0,90.0,2.0,1.0,1.0,1.0,31.080645161290324,0.9101382488479263,90.0,2.0,0.9101382488479263,0.8951612903225806,0.9101382488479263
1101,2861881.0,50.08064516129032,0.7569124423963134,180.0,1.0,0.7569124423963134,0.7350230414746544,0.7569124423963134,31.080645161290324,0.45622119815668205,180.0,1.0,0.45622119815668205,0.45506912442396313,0.45622119815668205
1102,28640740.0,39.078947368421055,0.3157894736842105,1125.0,2.2537593984962405,0.19360902255639098,0.27631578947368424,0.31203007518796994,20.07894736842105,0.16541353383458646,1125.0,2.093984962406015,0.14285714285714285,0.12969924812030076,0.16541353383458646
1103,28664157.0,50.08064516129032,0.9642857142857143,1125.0,181.0,0.9642857142857143,0.9285714285714286,0.9642857142857143,31.080645161290324,0.8110599078341014,1125.0,181.0,0.2857142857142857,0.25,0.2857142857142857
