,id,index_x,cleaning_fee_x,service_fee_x,total_price_x,index_y,cleaning_fee_y,service_fee_y,total_price_y
55,11759647.0,0.0,,13.0,95.0,0.0,,15.678571428571429,111.07142857142857
56,11790770.0,0.0,100.0,64.0,350.0,0.0,100.0,64.0,350.0
57,11811014.0,0.0,20.0,24.0,149.0,0.0,20.0,24.0,149.0
58,11826408.0,0.0,95.0,36.384105960264904,162.39514348785872,0.0,95.0,37.535714285714285,171.85714285714286
59,11838438.0,0.0,120.0,37.418502202643175,147.51101321585904,0.0,120.0,40.75,167.5
60,1185819.0,0.0,100.0,30.272479564032697,112.72479564032697,0.0,100.0,30.285714285714285,112.85714285714286
61,11886168.0,0.0,65.0,33.585903083700444,171.8942731277533,0.0,65.0,33.714285714285715,172.85714285714286
62,11908077.0,0.0,60.0,35.11504424778761,188.21902654867256,0.0,60.0,34.431261770244824,183.94538606403015
63,11928500.0,0.0,380.0,109.4251101321586,394.7026431718062,0.0,380.0,132.01315789473685,555.5451127819549
64,11948641.0,0.0,125.0,46.8942731277533,209.20704845814979,0.0,125.0,47.57142857142857,214.28571428571428
65,11969042.0,0.0,125.0,58.73348017621145,290.26872246696036,0.0,125.0,59.84586466165413,298.2781954887218
66,12007186.0,0.0,488.0,365.78474114441417,2102.6512261580383,0.0,488.0,320.5431034482759,1782.0295566502464
67,12149788.0,0.0,100.0,59.70044052863436,325.431718061674,0.0,100.0,60.0,327.57142857142856
68,12154880.0,0.0,170.0,62.25511596180082,269.83219645293315,0.0,170.0,57.24691358024691,236.4814814814815
69,12158458.0,0.0,50.0,24.831062670299726,124.66893732970027,0.0,50.0,24.779284833538842,124.23304562268804
70,12197831.0,0.0,30.0,15.083700440528634,75.41850220264317,0.0,30.0,15.75,78.75
71,12227697.0,0.0,50.0,42.0,250.0,0.0,50.0,42.0,250.0
72,12281320.0,0.0,250.0,87.44933920704845,369.36563876651985,0.0,250.0,84.99436090225564,351.4605263157895
73,12293898.0,0.0,300.0,94.60352422907489,370.4625550660793,0.0,300.0,109.96428571428571,478.57142857142856
74,12294020.0,0.0,85.0,36.9647577092511,178.20704845814979,0.0,85.0,39.0,191.85714285714286
75,12301522.0,0.0,350.0,115.90748898678414,469.8237885462555,0.0,350.0,116.14285714285714,471.42857142857144
76,12309978.0,0.0,,8.0,60.0,0.0,,8.0,60.0
77,12316333.0,0.0,230.0,114.31718061674009,580.8370044052864,0.0,230.0,117.0,600.0
78,12341300.0,0.0,30.0,25.0,148.0,0.0,30.0,28.25,171.0
79,12342839.0,0.0,250.0,96.88300220750551,434.878587196468,0.0,250.0,112.75,548.2142857142857
