RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
97277,9018,93449,Zip,CA,CA,Pismo Beach,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,976081
65443,9018,18353,Zip,PA,PA,Ross Township,East Stroudsburg,Monroe County,224858
99221,9018,97361,Zip,OR,OR,Monmouth,Salem,Polk County,379520
98189,9022,95425,Zip,CA,CA,Cloverdale,Santa Rosa,Sonoma County,626774
100027,9023,98930,Zip,WA,WA,Grandview,Yakima,Yakima County,235183
65409,9024,18252,Zip,PA,PA,Tamaqua,Pottsville,Schuylkill County,95681
99083,9025,97113,Zip,OR,OR,Cornelius,Portland-Vancouver-Hillsboro,Washington County,418385
84402,9025,60152,Zip,IL,IL,Marengo,Chicago-Naperville-Elgin,McHenry County,204636
94589,9025,84532,Zip,UT,UT,Moab,,Grand County,500862
80528,9025,50677,Zip,IA,IA,Waverly,Waterloo-Cedar Falls,Bremer County,170858
89418,9029,72160,Zip,AR,AR,Stuttgart,,Arkansas County,57483
65565,9029,18657,Zip,PA,PA,Tunkhannock Township,Scranton--Wilkes-Barre--Hazleton,Wyoming County,174791
58216,9029,1030,Zip,MA,MA,Agawam,Springfield,Hampden County,272989
67919,9032,24016,Zip,VA,VA,Roanoke,Roanoke,Roanoke City,89836
67783,9033,23662,Zip,VA,VA,Poquoson,Virginia Beach-Norfolk-Newport News,Poquoson City,223448
72208,9033,32776,Zip,FL,FL,Sorrento,Orlando-Kissimmee-Sanford,Lake County,270990
78623,9035,47460,Zip,IN,IN,Spencer,Bloomington,Owen County,156648
86855,9035,65584,Zip,MO,MO,Saint Robert,Fort Leonard Wood,Pulaski County,154180
81213,9037,53098,Zip,WI,WI,Watertown,Watertown-Fort Atkinson,Jefferson County,177742
60939,9037,8048,Zip,NJ,NJ,Lumberton Township,Philadelphia-Camden-Wilmington,Burlington County,152842
72863,9040,33853,Zip,FL,FL,Lake Wales,Lakeland-Winter Haven,Polk County,158855
399672,9041,89441,Zip,NV,NV,Sparks,Reno,Washoe County,562017
60830,9041,7843,Zip,NJ,NJ,Hopatcong,New York-Newark-Jersey City,Sussex County,262033
84925,9044,61354,Zip,IL,IL,Peru,Ottawa-Peru,La Salle County,103156
65354,9044,18080,Zip,PA,PA,Washington Township,Allentown-Bethlehem-Easton,Lehigh County,207474
74143,9044,37062,Zip,TN,TN,Fairview,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,342698
64964,9047,17222,Zip,PA,PA,Greene Township,Chambersburg-Waynesboro,Franklin County,190254
99862,9047,98550,Zip,WA,WA,Hoquiam,Aberdeen,Grays Harbor County,228233
66548,9047,20678,Zip,MD,MD,Prince Frederick,Washington-Arlington-Alexandria,Calvert County,328633
89878,9050,73045,Zip,OK,OK,Harrah,Oklahoma City,Oklahoma County,135092
65486,9051,18447,Zip,PA,PA,Olyphant,Scranton--Wilkes-Barre--Hazleton,Lackawanna County,132776
79730,9052,49412,Zip,MI,MI,Fremont,,Newaygo County,168485
68165,9053,24477,Zip,VA,VA,Stuarts Draft,Staunton-Waynesboro,Augusta County,202447
399680,9054,93730,Zip,CA,CA,Fresno,Fresno,Fresno County,430676
65169,9055,17756,Zip,PA,PA,Muncy Creek Township,Williamsport,Lycoming County,187832
97130,9056,93108,Zip,CA,CA,Montecito,Santa Maria-Santa Barbara,Santa Barbara County,3287393
97297,9056,93505,Zip,CA,CA,California City,Bakersfield,Kern County,174151
60907,9058,8010,Zip,NJ,NJ,Edgewater Park Township,Philadelphia-Camden-Wilmington,Burlington County,147560
66111,9059,19962,Zip,DE,DE,Magnolia,Dover,Kent County,322231
82601,9059,56071,Zip,MN,MN,New Prague,Minneapolis-St. Paul-Bloomington,Scott County,269043
85942,9059,63124,Zip,MO,MO,Ladue,St. Louis,Saint Louis County,423645
79906,9062,49738,Zip,MI,MI,Grayling,,Crawford County,99957
78399,9062,47006,Zip,IN,IN,Batesville,,Ripley County,195961
69866,9062,28337,Zip,NC,NC,Elizabethtown,,Bladen County,108242
99028,9065,97023,Zip,OR,OR,Estacada,Portland-Vancouver-Hillsboro,Clackamas County,479542
90596,9065,74948,Zip,OK,OK,Muldrow,Fort Smith,Sequoyah County,58918
64979,9067,17241,Zip,PA,PA,Penn Township,Harrisburg-Carlisle,Cumberland County,202603
90605,9070,74960,Zip,OK,OK,Stilwell,,Adair County,59770
90801,9071,75249,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,179518
58625,9071,2111,Zip,MA,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1291804
90929,9073,75462,Zip,TX,TX,Paris,Paris,Lamar County,169710
78133,9074,46394,Zip,IN,IN,Whiting,Chicago-Naperville-Elgin,Lake County,159006
58598,9077,2053,Zip,MA,MA,Medway,Boston-Cambridge-Newton,Norfolk County,456503
63840,9077,15022,Zip,PA,PA,Fallowfield Township,Pittsburgh,Washington County,78846
92390,9079,78336,Zip,TX,TX,Aransas Pass,Corpus Christi,San Patricio County,136308
399728,9079,81403,Zip,CO,CO,Montrose,Montrose,Montrose County,446664
89941,9079,73116,Zip,OK,OK,Oklahoma City,Oklahoma City,Oklahoma County,180535
85327,9082,62095,Zip,IL,IL,Wood River,St. Louis,Madison County,85969
85935,9083,63117,Zip,MO,MO,Richmond Heights,St. Louis,Saint Louis County,267867
84634,9084,60633,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,150079
60746,9084,7660,Zip,NJ,NJ,Ridgefield Park,New York-Newark-Jersey City,Bergen County,416016
90572,9084,74873,Zip,OK,OK,Tecumseh,Shawnee,Pottawatomie County,66311
58739,9084,2356,Zip,MA,MA,Easton,Providence-Warwick,Bristol County,492488
59934,9088,5495,Zip,VT,VT,Williston,Burlington-South Burlington,Chittenden County,365901
92908,9089,79331,Zip,TX,TX,Lamesa,Lamesa,Dawson County,86520
60336,9091,6478,Zip,CT,CT,Oxford,New Haven-Milford,New Haven County,457341
90785,9092,75233,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,265125
69887,9093,28360,Zip,NC,NC,Lumberton,Lumberton,Robeson County,78834
67226,9093,22308,Zip,VA,VA,Fort Hunt,Washington-Arlington-Alexandria,Fairfax County,723429
91014,9093,75654,Zip,TX,TX,Henderson,Longview,Rusk County,133119
60925,9096,8031,Zip,NJ,NJ,Bellmawr,Philadelphia-Camden-Wilmington,Camden County,196831
88881,9096,71047,Zip,LA,LA,Keithville,Shreveport-Bossier City,Caddo Parish,93173
72943,9096,33972,Zip,FL,FL,Lehigh Acres,Cape Coral-Fort Myers,Lee County,262680
92295,9099,78163,Zip,TX,TX,Bulverde,San Antonio-New Braunfels,Comal County,508395
69181,9099,27025,Zip,NC,NC,Madison,Greensboro-High Point,Rockingham County,113544
72296,9099,32908,Zip,FL,FL,Palm Bay,Palm Bay-Melbourne-Titusville,Brevard County,199544
77726,9102,45648,Zip,OH,OH,Lucasville,Portsmouth,Scioto County,86804
97473,9102,93908,Zip,CA,CA,Salinas,Salinas,Monterey County,919152
74536,9105,37879,Zip,TN,TN,Tazewell,,Claiborne County,135024
65612,9105,18840,Zip,PA,PA,Sayre,Sayre,Bradford County,145463
59266,9107,3874,Zip,NH,NH,Seabrook,Boston-Cambridge-Newton,Rockingham County,412835
399585,9107,33976,Zip,FL,FL,Lehigh Acres,Cape Coral-Fort Myers,Lee County,194951
70725,9109,29829,Zip,SC,SC,Graniteville,Augusta-Richmond County,Aiken County,124918
76469,9111,43023,Zip,OH,OH,Granville,Columbus,Licking County,316803
73607,9112,35769,Zip,AL,AL,Scottsboro,Scottsboro,Jackson County,165863
90775,9113,75223,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,271333
71950,9113,32344,Zip,FL,FL,Monticello,Tallahassee,Jefferson County,143002
61771,9113,10280,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1416972
65986,9116,19526,Zip,PA,PA,Hamburg,Reading,Berks County,196505
60781,9116,7734,Zip,NJ,NJ,Keansburg,New York-Newark-Jersey City,Monmouth County,269373
77443,9118,45106,Zip,OH,OH,Bethel,Cincinnati,Clermont County,153517
97842,9118,94708,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1605424
71529,9120,31415,Zip,GA,GA,Savannah,Savannah,Chatham County,85114
79908,9121,49740,Zip,MI,MI,Harbor Springs,,Emmet County,265312
62992,9121,13148,Zip,NY,NY,Town of Seneca Falls,Seneca Falls,Seneca County,117605
59755,9123,4976,Zip,ME,ME,Skowhegan,,Somerset County,146159
95556,9123,88081,Zip,NM,NM,Chaparral,Las Cruces,Dona Ana County,117651
81311,9125,53235,Zip,WI,WI,Saint Francis,Milwaukee-Waukesha-West Allis,Milwaukee County,228257
63508,9126,14411,Zip,NY,NY,Town of Albion,Rochester,Orleans County,111735
69241,9126,27214,Zip,NC,NC,Browns Summit,Greensboro-High Point,Guilford County,183145
97387,9128,93644,Zip,CA,CA,Oakhurst,Madera,Madera County,365882
77233,9129,44615,Zip,OH,OH,Carrollton,Canton-Massillon,Carroll County,115209
70157,9130,28713,Zip,NC,NC,Bryson City,,Swain County,202440
67225,9130,22307,Zip,VA,VA,Belle Haven,Washington-Arlington-Alexandria,Fairfax County,303583
87101,9130,66101,Zip,KS,KS,Kansas City,Kansas City,Wyandotte County,110020
82985,9130,56649,Zip,MN,MN,International Falls,,Koochiching County,66555
73393,9134,35223,Zip,AL,AL,Mountain Brook,Birmingham-Hoover,Jefferson County,388576
88393,9135,69341,Zip,NE,NE,Gering,Scottsbluff,Scotts Bluff County,147674
94137,9136,83350,Zip,ID,ID,Rupert,Burley,Minidoka County,178435
92837,9136,79108,Zip,TX,TX,Amarillo,Amarillo,Potter County,130917
87140,9138,66224,Zip,KS,KS,Leawood,Kansas City,Johnson County,358685
66256,9138,20166,Zip,VA,VA,Sterling,Washington-Arlington-Alexandria,Loudoun County,374448
72667,9138,33540,Zip,FL,FL,Zephyrhills,Tampa-St. Petersburg-Clearwater,Pasco County,222804
63913,9141,15129,Zip,PA,PA,South Park Township,Pittsburgh,Allegheny County,170252
87281,9142,66720,Zip,KS,KS,Chanute,,Neosho County,51809
71193,9143,30546,Zip,GA,GA,Hiawassee,,Towns County,200436
75586,9144,40242,Zip,KY,KY,Louisville,Louisville/Jefferson County,Jefferson County,280513
69441,9145,27601,Zip,NC,NC,Raleigh,Raleigh,Wake County,508857
399673,9146,89508,Zip,NV,NV,Cold Springs,Reno,Washoe County,523309
61959,9147,10980,Zip,NY,NY,Town of Stony Point,New York-Newark-Jersey City,Rockland County,386689
95197,9148,86413,Zip,AZ,AZ,Golden Valley,Lake Havasu City-Kingman,Mohave County,174222
61045,9148,8318,Zip,NJ,NJ,Elmer,Philadelphia-Camden-Wilmington,Salem County,207521
60538,9150,7022,Zip,NJ,NJ,Fairview,New York-Newark-Jersey City,Bergen County,468023
80146,9151,50112,Zip,IA,IA,Grinnell,,Poweshiek County,136115
93470,9151,80549,Zip,CO,CO,Wellington,Fort Collins,Larimer County,409320
94767,9153,85054,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,496880
73972,9153,36613,Zip,AL,AL,Eight Mile,Mobile,Mobile County,74219
61221,9153,8863,Zip,NJ,NJ,Edison,New York-Newark-Jersey City,Middlesex County,316740
77740,9153,45669,Zip,OH,OH,Proctorville,Huntington-Ashland,Lawrence County,117953
64625,9153,16511,Zip,PA,PA,Erie,Erie,Erie County,103185
73374,9158,35204,Zip,AL,AL,Birmingham,Birmingham-Hoover,Jefferson County,43185
70107,9160,28657,Zip,NC,NC,Newland,,Avery County,140461
64357,9161,15906,Zip,PA,PA,Johnstown,Johnstown,Cambria County,33424
93387,9162,80435,Zip,CO,CO,Keystone,Breckenridge,Summit County,877698
87021,9163,65809,Zip,MO,MO,Springfield,Springfield,Greene County,284926
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,519760
93208,9164,80018,Zip,CO,CO,Aurora,Denver-Aurora-Lakewood,Arapahoe County,519839
62221,9166,11742,Zip,NY,NY,Holtsville,New York-Newark-Jersey City,Suffolk County,383850
88975,9167,71241,Zip,LA,LA,Farmerville,Monroe,Union Parish,109781
97968,9167,95073,Zip,CA,CA,Soquel,Santa Cruz-Watsonville,Santa Cruz County,1258323
86494,9167,64501,Zip,MO,MO,Saint Joseph,St. Joseph,Buchanan County,82768
87242,9170,66611,Zip,KS,KS,Topeka,Topeka,Shawnee County,83697
65687,9170,19004,Zip,PA,PA,Lower Merion Township,Philadelphia-Camden-Wilmington,Montgomery County,382706
61126,9172,8609,Zip,NJ,NJ,Trenton,Trenton,Mercer County,107791
60901,9173,8004,Zip,NJ,NJ,Winslow Township,Philadelphia-Camden-Wilmington,Camden County,193650
69863,9174,28333,Zip,NC,NC,Dudley,Goldsboro,Wayne County,86393
76521,9175,43103,Zip,OH,OH,Ashville,Columbus,Pickaway County,172315
73094,9176,34428,Zip,FL,FL,Crystal River,Homosassa Springs,Citrus County,220450
70995,9177,30268,Zip,GA,GA,Palmetto,Atlanta-Sandy Springs-Roswell,Fulton County,210801
93483,9177,80621,Zip,CO,CO,Fort Lupton,Greeley,Weld County,416210
91318,9177,76230,Zip,TX,TX,Bowie,,Montague County,107304
83593,9180,58301,Zip,ND,ND,Devils Lake,,Ramsey County,134459
91727,9180,77078,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,142733
94920,9182,85344,Zip,AZ,AZ,Parker,,La Paz County,269664
422747,9184,99623,Zip,AK,AK,Wasilla,Anchorage,Matanuska Susitna Borough,188966
77823,9185,45806,Zip,OH,OH,Fort Shawnee,Lima,Allen County,159145
58811,9186,2563,Zip,MA,MA,Sandwich,Barnstable Town,Barnstable County,526967
66628,9187,20781,Zip,MD,MD,Hyattsville,Washington-Arlington-Alexandria,Prince Georges County,328895
85784,9188,62918,Zip,IL,IL,Carterville,Carbondale-Marion,Williamson County,80769
63646,9188,14625,Zip,NY,NY,Town Of Penfield,Rochester,Monroe County,205463
84574,9191,60545,Zip,IL,IL,Plano,Chicago-Naperville-Elgin,Kendall County,191797
93803,9193,81505,Zip,CO,CO,Grand Junction,Grand Junction,Mesa County,281081
70668,9193,29691,Zip,SC,SC,Walhalla,Seneca,Oconee County,154129
73039,9193,34217,Zip,FL,FL,Holmes Beach,North Port-Sarasota-Bradenton,Manatee County,795316
72128,9193,32643,Zip,FL,FL,High Springs,Gainesville,Alachua County,185671
72473,9197,33170,Zip,FL,FL,Goulds,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,340655
73969,9198,36610,Zip,AL,AL,Prichard,Mobile,Mobile County,24649
59287,9198,3909,Zip,ME,ME,York,Portland-South Portland,York County,539688
85256,9200,62010,Zip,IL,IL,Bethalto,St. Louis,Madison County,118031
60571,9201,7062,Zip,NJ,NJ,Plainfield,New York-Newark-Jersey City,Union County,342207
74987,9203,38751,Zip,MS,MS,Indianola,Indianola,Sunflower County,61004
61086,9203,8512,Zip,NJ,NJ,Cranbury Township,New York-Newark-Jersey City,Middlesex County,336122
95805,9205,89109,Zip,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,486116
72875,9205,33868,Zip,FL,FL,Polk City,Lakeland-Winter Haven,Polk County,321679
81387,9205,53563,Zip,WI,WI,Milton,Janesville-Beloit,Rock County,204661
88597,9208,70444,Zip,LA,LA,Kentwood,Hammond,Tangipahoa Parish,131140
